,prod,WorldExport,EUExport,EUTopExporter,EUWorldMarketShare,hhi,euhhi,POPIS,description
85,20830,118962.0,79096.0,CZE,0.6648845849935273,0.2977100658104551,0.6045758471046482,Maso primátů,"Meat and edible meat offal: of primates, fresh, chilled or frozen"
86,20840,29313964.0,4442762.0,DEU,0.15155787187294084,0.5666377674240114,0.5635217393196847,"Maso z velryb,delfínů,sviňuch,kapustňáků,dugungů,tuleňů,lvounů,mrožů","Meat and edible meat offal: of whales, dolphins and porpoises (mammals of the order Cetacea): of manatees and dugongs (mammals of the order Sirenia): of seals, sea lions and walruses (mammals of the suborder Pinnipedia), fresh, chilled or frozen"
87,20850,2352067.0,321608.0,NLD,0.13673420017371954,0.18324808459294928,0.6055411178218584,Maso z plazů (vč. hadů a želv),"Meat and edible meat offal: of reptiles (including snakes and turtles), fresh, chilled or frozen"
88,20860,14174612.000000002,42528.0,NLD,0.0030002937646547217,0.3269764497124976,0.5456008106959214,Maso z velbloudů a jiných velbloudovitých,"Meat and edible meat offal: of camels and other camelids (Camelidae), fresh, chilled or frozen"
89,20890,626517692.0,357091785.0,ESP,0.5699628112018263,0.08018572965323581,0.0932701031619351,"Maso a jedlé droby z holubů, zvěřiny, sobů a jiných zvířat, čerstvé, chlazené a zmrazené (kromě těch z turů, prasat, ovc","Meat and edible meat offal: n.e.c. in chapter 2, fresh, chilled or frozen"
90,20910,829746933.0,645596493.0,ESP,0.7780643318147703,0.11180254824888433,0.1615516254700857,Vepřový tuk,"Fat: pig fat, free of lean meat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked"
91,20990,22581673.0,13734114.0,POL,0.6081973642962591,0.07530358886434158,0.11251815596285214,Vepřový tuk ostatní,"Fat: poultry fat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked"
92,21011,377548019.0,301643517.0,ESP,0.798954045101214,0.25787839034954113,0.36976015002150614,"Šunky,plece vepř.solené,sušené,uzené,nevykost","Meat: salted, in brine, dried or smoked, of swine, hams, shoulders and cuts thereof, with bone in"
93,21012,698572507.0,470702962.0,NLD,0.6738068808654103,0.10814531904740082,0.1316519864265324,"Bůčky prorostlé solené,v nálevu,sušené,uzené","Meat: salted, in brine, dried or smoked, of swine, bellies (streaky) and cuts thereof"
94,21019,2959880394.0,2782673075.0,ITA,0.9401302433168521,0.1914252252280569,0.2154437466035418,"Maso,droby vepřové ost.solené,sušené,uzené","Meat: salted in brine, dried or smoked, of swine, n.e.c. in item no. 0210.1"
95,21020,362668513.0,187243134.0,ITA,0.5162927778072645,0.08982791413350612,0.2125033103227666,"Maso,droby hovězí solené,v nálevu,sušené,uzené","Meat: salted, in brine, dried or smoked, of bovine animals"
96,21091,3475637.0,1703476.0,SWE,0.49011907745256483,0.09923233935009071,0.15901582866218128,"Solené, uzené maso primátů","Meat and edible meat offal: salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, of primates"
97,21092,18317146.0,18198641.0,NLD,0.993530378586271,0.21114828012836628,0.21388925121123725,"Maso a jedlé droby,solené,sušené,uzené z velryb,delfínů,sviňuch,kapust","Meat and edible meat offal: salted, in brine, dried or smoked: edible flours, meals of meat or meat offal, of whales, dolphins, porpoises (of order Cetacea): manatees, dugongs (of order Sirenia): seals, sea lions, and walruses (of suborder Pinnipedia)"
98,21093,9721104.0,218191.0,ESP,0.022445084426624795,0.349504817486708,0.2780246634229241,"Solené, uzené maso z plazů","Meat and edible meat offal: salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, of reptiles (including snakes and turtles)"
99,21099,1136262072.0,375316287.0,NLD,0.33030785436618887,0.2510856264693715,0.41162520499053246,"Maso a jedlé droby, solené, ve slaném nálevu, sušené nebo uzené, a jedlé moučky a prášky z masa nebo drobů (kromě hovězí","Meat and edible meat offal: salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, other than of primates, whales, dolphins, porpoises, manatees, dugongs, seals, sea lions, walruses, reptiles (including snakes and turtles)"
100,30111,287287113.0,35580728.0,CZE,0.12385076249487043,0.07834300174177676,0.23951354265074426,"Ryby sladkovodní okrasné, živé","Fish: live, ornamental, freshwater"
101,30119,74079249.0,16616862.0,NLD,0.22431196622957125,0.05875855324897821,0.1803880118984817,"Ryby okrasné ostatní, živé","Fish: live, ornamental, other than freshwater"
102,30191,120165823.0,108805565.0,FRA,0.9054618217028314,0.14596146919138334,0.17467274354497767,Pstruzi živí,"Fish: live, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)"
103,30192,853657958.0,35934571.0,FRA,0.04209481170208924,0.30496035514818465,0.3904253896136651,Úhoři živí,"Fish: live, eels (Anguilla spp.)"
