HS_ID,Skupina,Podskupina,Kategorie_vyrobku,Zdroj,Included,CAGR_2022_30_ANALYSIS,IS_REALCAGR,CAGR_2022_30_FORECAST
280461,A04. Výroba nízkoemisní elektřiny a paliv,A04b. Solární,Komponenty pro solární energetiku,"""Technology Evolution of Chinaâ€™s Export of Renewable Energy Products"" By Xuping Cao et al, 2018; https://www.researchgate.net/publication/327123861_Technology_Evolution_of_China's_Export_of_Renewable_Energy_Products",IN,0.1200,Y,0.1200
841869,A03. Budovy,A03b. Elektrifikace tepelného hospodářství,Tepelná čerpadla a HVAC,LSE Navigator,IN,,N,0.0400
860310,A02. Doprava,A02a. Železniční (osobní i nákladní),Nové lokomotivy a vozy,LSE Navigator,IN,0.0500,Y,0.0500
730230,A02. Doprava,A02a. Železniční (osobní i nákladní),Infrastruktura (nové tratě a elektrifikace stávajících),LSE Navigator,IN,0.0500,Y,0.0500
730210,A02. Doprava,A02a. Železniční (osobní i nákladní),Infrastruktura (nové tratě a elektrifikace stávajících),LSE Navigator,IN,0.0500,Y,0.0500
860500,A02. Doprava,A02a. Železniční (osobní i nákladní),Nové lokomotivy a vozy,LSE Navigator,IN,0.0500,Y,0.0500
730240,A02. Doprava,A02a. Železniční (osobní i nákladní),Díly a vybavení,LSE Navigator,IN,0.0500,Y,0.0500
860630,A02. Doprava,A02a. Železniční (osobní i nákladní),Nové lokomotivy a vozy,LSE Navigator,IN,0.0500,Y,0.0500
860692,A02. Doprava,A02a. Železniční (osobní i nákladní),Nové lokomotivy a vozy,LSE Navigator,IN,0.0500,Y,0.0500
730290,A02. Doprava,A02a. Železniční (osobní i nákladní),Díly a vybavení,LSE Navigator,IN,0.0500,Y,0.0500
860110,A02. Doprava,A02a. Železniční (osobní i nákladní),Nové lokomotivy a vozy,LSE Navigator,IN,0.0500,Y,0.0500
860120,A02. Doprava,A02a. Železniční (osobní i nákladní),Nové lokomotivy a vozy,LSE Navigator,IN,0.0500,Y,0.0500
900190,A04. Výroba nízkoemisní elektřiny a paliv,A04b. Solární,Komponenty pro solární energetiku,LSE Navigator,IN,0.1200,Y,0.1200
850619,A05. Ukládání energie,A05a. Baterie,Baterie,LSE Navigator,IN,,N,0.0400
841239,A04. Výroba nízkoemisní elektřiny a paliv,A04a. Větrná,Komponenty pro větrnou energetiku,"""Technology Evolution of Chinaâ€™s Export of Renewable Energy Products"" By Xuping Cao et al, 2018; https://www.researchgate.net/publication/327123861_Technology_Evolution_of_China's_Export_of_Renewable_Energy_Products",IN,0.0840,Y,0.0840
854140,A04. Výroba nízkoemisní elektřiny a paliv,A04b. Solární,Komponenty pro solární energetiku,LSE Navigator,IN,0.1200,Y,0.1200
901540,E01. Měřící a diagnostické přístroje; Monitoring,E01h. Surveying / Zeměměřičství (HS 9015),Surveying / Zeměměřičství,LSE Navigator,IN,,N,0.0400
390940,A03. Budovy,A03a. Snižování energetické náročnosti budov,"Zateplení, izolace",LSE Navigator,IN,,N,0.0400
903300,E01. Měřící a diagnostické přístroje; Monitoring,"E01i. Ostatní (HS 903x, a další)",Ostatní,LSE Navigator,IN,,N,0.0400
902890,E01. Měřící a diagnostické přístroje; Monitoring,"E0f. Měření v energetice a síťových odvětvích (HS9028 - 9030, 903210)","Měření odběru a výroby plynů, tekutin, elektřiny",LSE Navigator,IN,,N,0.0400
840690,A04. Výroba nízkoemisní elektřiny a paliv,A04g. Efektivní využití plynu a vodíku,Komponenty pro výrobu energie z plynů,LSE Navigator,IN,,N,0.0400
840140,A04. Výroba nízkoemisní elektřiny a paliv,A04f. Jádro,Komponenty pro jadernou energetiku,"""Technology Evolution of Chinaâ€™s Export of Renewable Energy Products"" By Xuping Cao et al, 2018; https://www.researchgate.net/publication/327123861_Technology_Evolution_of_China's_Export_of_Renewable_Energy_Products",IN,,N,0.0400
841290,A04. Výroba nízkoemisní elektřiny a paliv,A04a. Větrná,Komponenty pro větrnou energetiku,LSE Navigator,IN,0.0840,Y,0.0840
841090,A04. Výroba nízkoemisní elektřiny a paliv,A04c. Vodní,Komponenty pro vodní energetiku,LSE Navigator,IN,,N,0.0400
841199,A04. Výroba nízkoemisní elektřiny a paliv,A04g. Efektivní využití plynu a vodíku,Komponenty pro výrobu energie z plynů,LSE Navigator,IN,,N,0.0400
902690,E01. Měřící a diagnostické přístroje; Monitoring,E01d. Měření vlastností plynů a tekutnin (HS9026),Měření vlastností plynů a tekutin,LSE Navigator,IN,,N,0.0400
850490,A06. Energetické sítě,A06a. Distribuce a přenos elektřiny,Transformační stanice a další síťové komponenty,LSE Navigator,IN,0.0580,Y,0.0580
850300,A06. Energetické sítě,A06a. Distribuce a přenos elektřiny,Transformační stanice a další síťové komponenty,LSE Navigator,IN,0.0580,Y,0.0580
901390,A04. Výroba nízkoemisní elektřiny a paliv,A04b. Solární,Komponenty pro solární energetiku,LSE Navigator,IN,0.1200,Y,0.1200
901590,E01. Měřící a diagnostické přístroje; Monitoring,E01h. Surveying / Zeměměřičství (HS 9015),Surveying / Zeměměřičství,LSE Navigator,IN,,N,0.0400
903290,E01. Měřící a diagnostické přístroje; Monitoring,"E01i. Ostatní (HS 903x, a další)",Ostatní,LSE Navigator,IN,,N,0.0400
903190,E01. Měřící a diagnostické přístroje; Monitoring,E01i. Ostatní,Ostatní,LSE Navigator,IN,,N,0.0400
903090,E01. Měřící a diagnostické přístroje; Monitoring,"E0f. Měření v energetice a síťových odvětvích (HS9028 - 9030, 903210)",Ostatní,LSE Navigator,IN,,N,0.0400
860799,A02. Doprava,A02a. Železniční (osobní i nákladní),Nové lokomotivy a vozy,LSE Navigator,IN,0.0500,Y,0.0500
860791,A02. Doprava,A02a. Železniční (osobní i nákladní),Díly a vybavení,LSE Navigator,IN,0.0500,Y,0.0500
860699,A02. Doprava,A02a. Železniční (osobní i nákladní),Nové lokomotivy a vozy,LSE Navigator,IN,0.0500,Y,0.0500
903140,E01. Měřící a diagnostické přístroje; Monitoring,"E01a. Optická měření (HS 9000 - 9013, HS 903140)",Optická měření,LSE Navigator,IN,,N,0.0400
901380,A04. Výroba nízkoemisní elektřiny a paliv,A04b. Solární,Komponenty pro solární energetiku,LSE Navigator,IN,0.1200,Y,0.1200
840110,A04. Výroba nízkoemisní elektřiny a paliv,A04f. Jádro,Komponenty pro jadernou energetiku,"""Technology Evolution of Chinaâ€™s Export of Renewable Energy Products"" By Xuping Cao et al, 2018; https://www.researchgate.net/publication/327123861_Technology_Evolution_of_China's_Export_of_Renewable_Energy_Products",IN,,N,0.0400
560300,B02. Cirkularita a odpady,"B02b. Cirkularita, využití odpadu",Materiálové využití,LSE Navigator,IN,,N,0.0400
392030,A03. Budovy,A03a. Snižování energetické náročnosti budov,"Zateplení, izolace",LSE Navigator,IN,,N,0.0400
860712,A02. Doprava,A02a. Železniční (osobní i nákladní),Díly a vybavení,LSE Navigator,IN,0.0500,Y,0.0500
700800,A03. Budovy,A03a. Snižování energetické náročnosti budov,"Zateplení, izolace",LSE Navigator,IN,,N,0.0400
900290,A04. Výroba nízkoemisní elektřiny a paliv,A04b. Solární,Komponenty pro solární energetiku,LSE Navigator,IN,0.1200,Y,0.1200
871411,A02. Doprava,A02c. Cyklistika a jednostopá ,Díly a vybavení,LSE Navigator,IN,,N,0.0400
871419,A02. Doprava,A02c. Cyklistika a jednostopá ,Díly a vybavení,LSE Navigator,IN,,N,0.0400
900580,E01. Měřící a diagnostické přístroje; Monitoring,"E01a. Optická měření (HS 9000 - 9013, HS 903140)",Optická měření,LSE Navigator,IN,,N,0.0400
680690,A03. Budovy,A03a. Snižování energetické náročnosti budov,"Zateplení, izolace",LSE Navigator,IN,,N,0.0400
902790,E01. Měřící a diagnostické přístroje; Monitoring,E01e. Chemická analýza (HS9027),Ostatní,LSE Navigator,IN,,N,0.0400
903180,E01. Měřící a diagnostické přístroje; Monitoring,E01i. Ostatní,Ostatní,LSE Navigator,IN,,N,0.0400
701931,A03. Budovy,A03a. Snižování energetické náročnosti budov,"Zateplení, izolace",LSE Navigator,IN,,N,0.0400
903220,E01. Měřící a diagnostické přístroje; Monitoring,"E01i. Ostatní (HS 903x, a další)",Ostatní,LSE Navigator,IN,,N,0.0400
860400,A02. Doprava,A02a. Železniční (osobní i nákladní),Nové lokomotivy a vozy,LSE Navigator,IN,0.0500,Y,0.0500
841960,A05. Ukládání energie,A05b. Vodik a čpavek,Vodík (elektrolyzéry),https://www.findhs.codes/?guid=b747ea1d-f800-484a-8091-f020571b7519,IN,,N,0.0400
840120,A04. Výroba nízkoemisní elektřiny a paliv,A04f. Jádro,Komponenty pro jadernou energetiku,"""Technology Evolution of Chinaâ€™s Export of Renewable Energy Products"" By Xuping Cao et al, 2018; https://www.researchgate.net/publication/327123861_Technology_Evolution_of_China's_Export_of_Renewable_Energy_Products",IN,,N,0.0400
902820,E01. Měřící a diagnostické přístroje; Monitoring,"E0f. Měření v energetice a síťových odvětvích (HS9028 - 9030, 903210)","Měření odběru a výroby plynů, tekutin, elektřiny",LSE Navigator,IN,,N,0.0400
850422,A06. Energetické sítě,A06a. Distribuce a přenos elektřiny,Transformační stanice a další síťové komponenty,LSE Navigator,IN,0.0580,Y,0.0580
850423,A06. Energetické sítě,A06a. Distribuce a přenos elektřiny,Transformační stanice a další síťové komponenty,LSE Navigator,IN,0.0580,Y,0.0580
850421,A06. Energetické sítě,A06a. Distribuce a přenos elektřiny,Transformační stanice a další síťové komponenty,LSE Navigator,IN,0.0580,Y,0.0580
850720,A05. Ukládání energie,A05a. Baterie,Baterie,LSE Navigator,IN,,N,0.0400
