HS_ID,Skupina,Podskupina,Kategorie_vyrobku,Zdroj,Included,CAGR_2022_30_ANALYSIS,IS_REALCAGR,CAGR_2022_30_FORECAST
940520,9. Generic industrial goods (no change),99. Generic industrial goods,OUT,LSE Navigator,OUT,,N,0.0400
853931,9. Generic industrial goods (no change),99. Generic industrial goods,OUT,LSE Navigator,OUT,,N,0.0400
903110,9. Generic industrial goods (no change),99. Generic industrial goods,OUT,LSE Navigator,OUT,,N,0.0400
284700,9. Generic industrial goods (no change),99. Generic industrial goods,OUT,LSE Navigator,OUT,,N,0.0400
860390,9. Generic industrial goods (no change),99. Generic industrial goods,OUT,LSE Navigator,OUT,,N,0.0400
450410,9. Generic industrial goods (no change),99. Generic industrial goods,OUT,LSE Navigator,OUT,,N,0.0400
890790,9. Generic industrial goods (no change),99. Generic industrial goods,OUT,LSE Navigator,OUT,,N,0.0400
290511,9. Generic industrial goods (no change),99. Generic industrial goods,OUT,LSE Navigator,OUT,,N,0.0400
871492,A02. Doprava,A02c. Cyklistika a jednostopá ,Díly a vybavení,LSE Navigator,IN,,N,0.0400
871495,A02. Doprava,A02c. Cyklistika a jednostopá ,Díly a vybavení,LSE Navigator,IN,,N,0.0400
871496,A02. Doprava,A02c. Cyklistika a jednostopá ,Díly a vybavení,LSE Navigator,IN,,N,0.0400
871499,A02. Doprava,A02c. Cyklistika a jednostopá ,Díly a vybavení,LSE Navigator,IN,,N,0.0400
871493,A02. Doprava,A02c. Cyklistika a jednostopá ,Díly a vybavení,LSE Navigator,IN,,N,0.0400
871491,A02. Doprava,A02c. Cyklistika a jednostopá ,Díly a vybavení,LSE Navigator,IN,,N,0.0400
871494,A02. Doprava,A02c. Cyklistika a jednostopá ,Díly a vybavení,LSE Navigator,IN,,N,0.0400
848220,A04. Výroba nízkoemisní elektřiny a paliv,A04a. Větrná,Komponenty pro větrnou energetiku,"""Comparative advantages of Chinaâ€™s wind energy products: a Beltâ€‘andâ€‘Road perspective"", Zhihui Leng et al, 2018; https://www.researchgate.net/publication/340271956_Comparative_advantages_of_China's_wind_energy_products_a_Belt-and-Road_perspective_Belt_and_Road_Initiative_Wind_energy_Comparative_advantage_Constant_market_share_CMS_model_Revealed_comparative_advan",IN,0.0840,Y,0.0840
848230,A04. Výroba nízkoemisní elektřiny a paliv,A04a. Větrná,Komponenty pro větrnou energetiku,"""Comparative advantages of Chinaâ€™s wind energy products: a Beltâ€‘andâ€‘Road perspective"", Zhihui Leng et al, 2018; https://www.researchgate.net/publication/340271956_Comparative_advantages_of_China's_wind_energy_products_a_Belt-and-Road_perspective_Belt_and_Road_Initiative_Wind_energy_Comparative_advantage_Constant_market_share_CMS_model_Revealed_comparative_advan",IN,0.0840,Y,0.0840
761290,2. Circularity,2a. Waste,Waste management,LSE Navigator,OUT,,N,0.0400
842940,2. Circularity,2a. Waste,Waste management,LSE Navigator,OUT,,N,0.0400
842220,2. Circularity,2a. Waste,Waste management,LSE Navigator,OUT,,N,0.0400
846694,2. Circularity,2a. Waste,Waste management,LSE Navigator,OUT,,N,0.0400
960390,2. Circularity,2a. Waste,Waste management,LSE Navigator,OUT,,N,0.0400
846596,2. Circularity,2a. Waste,Waste management,LSE Navigator,OUT,,N,0.0400
842290,2. Circularity,2a. Waste,Waste management,LSE Navigator,OUT,,N,0.0400
780600,2. Circularity,2a. Waste,Waste management,LSE Navigator,OUT,,N,0.0400
847990,2. Circularity,2a. Waste,Waste management,LSE Navigator,OUT,,N,0.0400
392020,2. Circularity,2a. Waste,Waste management,LSE Navigator,OUT,,N,0.0400
392010,2. Circularity,2a. Waste,Waste management,LSE Navigator,OUT,,N,0.0400
847420,2. Circularity,2a. Waste,Waste management,LSE Navigator,OUT,,N,0.0400
960350,2. Circularity,2a. Waste,Waste management,LSE Navigator,OUT,,N,0.0400
681099,2. Circularity,2a. Waste,Waste management,LSE Navigator,OUT,,N,0.0400
392490,2. Circularity,2a. Waste,Waste management,LSE Navigator,OUT,,N,0.0400
846291,2. Circularity,2a. Waste,Waste management,LSE Navigator,OUT,,N,0.0400
847982,2. Circularity,2a. Waste,Waste management,LSE Navigator,OUT,,N,0.0400
841790,2. Circularity,2a. Waste,Waste management,LSE Navigator,OUT,,N,0.0400
840219,2. Circularity,2a. Waste,Waste management,LSE Navigator,OUT,,N,0.0400
846599,2. Circularity,2a. Waste,Waste management,LSE Navigator,OUT,,N,0.0400
400259,2. Circularity,2a. Waste,Waste management,LSE Navigator,OUT,,N,0.0400
901320,2. Circularity,2a. Waste,Waste management,LSE Navigator,OUT,,N,0.0400
960310,2. Circularity,2a. Waste,Waste management,LSE Navigator,OUT,,N,0.0400
847439,2. Circularity,2a. Waste,Waste management,LSE Navigator,OUT,,N,0.0400
732510,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
848240,A04. Výroba nízkoemisní elektřiny a paliv,A04a. Větrná,Komponenty pro větrnou energetiku,"""Comparative advantages of Chinaâ€™s wind energy products: a Beltâ€‘andâ€‘Road perspective"", Zhihui Leng et al, 2018; https://www.researchgate.net/publication/340271956_Comparative_advantages_of_China's_wind_energy_products_a_Belt-and-Road_perspective_Belt_and_Road_Initiative_Wind_energy_Comparative_advantage_Constant_market_share_CMS_model_Revealed_comparative_advan",IN,0.0840,Y,0.0840
841350,2. Circularity,2a. Waste,Waste water,LSE Navigator,Ke zvážení - Sigma Lutín,,N,0.0400
252220,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
841440,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
848250,A04. Výroba nízkoemisní elektřiny a paliv,A04a. Větrná,Komponenty pro větrnou energetiku,"""Comparative advantages of Chinaâ€™s wind energy products: a Beltâ€‘andâ€‘Road perspective"", Zhihui Leng et al, 2018; https://www.researchgate.net/publication/340271956_Comparative_advantages_of_China's_wind_energy_products_a_Belt-and-Road_perspective_Belt_and_Road_Initiative_Wind_energy_Comparative_advantage_Constant_market_share_CMS_model_Revealed_comparative_advan",IN,0.0840,Y,0.0840
841780,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
731010,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
732690,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
730900,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
851410,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
848280,A04. Výroba nízkoemisní elektřiny a paliv,A04a. Větrná,Komponenty pro větrnou energetiku,"""Comparative advantages of Chinaâ€™s wind energy products: a Beltâ€‘andâ€‘Road perspective"", Zhihui Leng et al, 2018; https://www.researchgate.net/publication/340271956_Comparative_advantages_of_China's_wind_energy_products_a_Belt-and-Road_perspective_Belt_and_Road_Initiative_Wind_energy_Comparative_advantage_Constant_market_share_CMS_model_Revealed_comparative_advan",IN,0.0840,Y,0.0840
848210,A04. Výroba nízkoemisní elektřiny a paliv,A04a. Větrná,Komponenty pro větrnou energetiku,"""Comparative advantages of Chinaâ€™s wind energy products: a Beltâ€‘andâ€‘Road perspective"", Zhihui Leng et al, 2018; https://www.researchgate.net/publication/340271956_Comparative_advantages_of_China's_wind_energy_products_a_Belt-and-Road_perspective_Belt_and_Road_Initiative_Wind_energy_Comparative_advantage_Constant_market_share_CMS_model_Revealed_comparative_advan",IN,0.0840,Y,0.0840
842389,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
730490,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
848180,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
731021,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
841939,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
848110,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
841360,2. Circularity,2a. Waste,Waste water,LSE Navigator,Ke zvážení - Sigma Lutín,,N,0.0400
841430,2. Circularity,2a. Waste,Waste water,LSE Navigator,Ke zvážení,,N,0.0400
841381,2. Circularity,2a. Waste,Waste water,LSE Navigator,Ke zvážení - Sigma Lutín,,N,0.0400
902610,2. Circularity,2a. Waste,Waste water,LSE Navigator,Ke zvážení,,N,0.0400
392690,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
842490,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
731029,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
841480,A05. Ukládání energie,A05b. Vodik a čpavek,Vodík (elektrolyzéry),https://www.apec.org/docs/default-source/publications/2021/12/scoping-study-on-new-and-emerging-environmental-goods/221_mag_scoping-study-on-new-and-emerging-environmental-goods.pdf,IN,,N,0.0400
730630,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
848140,2. Circularity,2a. Waste,Waste water,LSE Navigator,Ke zvážení,,N,0.0400
841370,2. Circularity,2a. Waste,Waste water,LSE Navigator,Ke zvážení - Sigma Lutín,,N,0.0400
848130,2. Circularity,2a. Waste,Waste water,LSE Navigator,Ke zvážení,,N,0.0400
841490,A05. Ukládání energie,A05b. Vodik a čpavek,Vodík (elektrolyzéry),https://www.apec.org/docs/default-source/publications/2021/12/scoping-study-on-new-and-emerging-environmental-goods/221_mag_scoping-study-on-new-and-emerging-environmental-goods.pdf,IN,,N,0.0400
691010,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
842833,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
842199,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
851490,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
848190,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
840290,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
902620,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
840410,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
283529,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
842121,2. Circularity,2a. Waste,Waste water,LSE Navigator,Ke zvážení,,N,0.0400
854380,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
732490,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
841320,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
842129,2. Circularity,2a. Waste,Waste water,LSE Navigator,Ke zvážení,,N,0.0400
730690,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
841989,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
730431,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
252100,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
854390,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
283210,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
850410,A06. Energetické sítě,A06a. Distribuce a přenos elektřiny,Transformační stanice a další síťové komponenty,LSE Navigator,IN,0.0580,Y,0.0580
840510,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
851430,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
841940,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
281511,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
842191,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
842381,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
851420,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
730300,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
283524,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
842119,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
281410,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
282410,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
460120,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
282010,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
283220,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
842382,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
281512,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
380210,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
283510,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
281610,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
281830,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
282090,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
283526,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
283525,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
580190,2. Circularity,2a. Waste,Waste water,LSE Navigator,OUT,,N,0.0400
285100,1. Adaptation,1a. Water supply,Water supply,LSE Navigator,OUT,,N,0.0400
220110,1. Adaptation,1a. Water supply,Water supply,LSE Navigator,OUT,,N,0.0400
280110,1. Adaptation,1a. Water supply,Water supply,LSE Navigator,OUT,,N,0.0400
391400,1. Adaptation,1a. Water supply,Water supply,LSE Navigator,OUT,,N,0.0400
860719,A02. Doprava,A02a. Železniční (osobní i nákladní),Díly a vybavení,LSE Navigator,IN,0.0500,Y,0.0500
903289,A04. Výroba nízkoemisní elektřiny a paliv,A04b. Solární,Komponenty pro solární energetiku,LSE Navigator,IN,0.1200,Y,0.1200
853620,A06. Energetické sítě,A06a. Distribuce a přenos elektřiny,Transformační stanice a další síťové komponenty,"European Commission: ""Trade as a measure of innovation performance: Selection and assessment of trade indicators"" https://www.camecon.com/wp-content/uploads/2021/07/CEII-report.pdf",IN,,N,0.0400
540500,A03. Budovy,A03a. Snižování energetické náročnosti budov,"Zateplení, izolace",LSE Navigator,IN,,N,0.0400
903039,E01. Měřící a diagnostické přístroje; Monitoring,"E0f. Měření v energetice a síťových odvětvích (HS9028 - 9030, 903210)",Ostatní,LSE Navigator,IN,,N,0.0400
841581,A03. Budovy,A03b. Elektrifikace tepelného hospodářství,Tepelná čerpadla a HVAC,LSE Navigator,IN,,N,0.0400
860721,A02. Doprava,A02a. Železniční (osobní i nákladní),Díly a vybavení,LSE Navigator,IN,0.0500,Y,0.0500
850162,A06. Energetické sítě,A06a. Distribuce a přenos elektřiny,Transformační stanice a další síťové komponenty,LSE Navigator,IN,0.0580,Y,0.0580
850163,A06. Energetické sítě,A06a. Distribuce a přenos elektřiny,Transformační stanice a další síťové komponenty,LSE Navigator,IN,0.0580,Y,0.0580
850164,A06. Energetické sítě,A06a. Distribuce a přenos elektřiny,Transformační stanice a další síťové komponenty,LSE Navigator,IN,0.0580,Y,0.0580
850161,A06. Energetické sítě,A06a. Distribuce a přenos elektřiny,Transformační stanice a další síťové komponenty,LSE Navigator,IN,0.0580,Y,0.0580
