,loc,prod,ExportValue,time,diversity,ubiquity,mcp,eci,pci,density,coi,cog,rca,POPIS,description,relatedness,WorldExport,EUExport,EUTopExporter,EUWorldMarketShare,hhi,euhhi,SVK_WorldMarketShare,SVK_EUMarketShare,PCI_Rank,PCI_Percentile,relatedness_Rank,relatedness_Percentile,export_Rank,export_Percentile
36,SVK,20130,665203.0000000001,2023,892,18,0,1.440183635429462,0.13786725891238003,0.1969644525494431,1.3388350796716446,0.07556491039487807,0.005752778130534863,"Maso hovězí,čerstvé,chlazené,vykostěné","Meat: of bovine animals, boneless cuts, fresh or chilled",0.1969644525494431,21521773611.0,6444642780.0,IRL,0.29944756861051997,0.08930703735281141,0.17352197146274073,3.090837270307536e-05,0.0001032179785145516,1660.0,29.6111309311452,3900.0,69.56831965750982,3097.0,55.244381020335354
37,SVK,20210,38260.00000000001,2023,892,25,0,1.440183635429462,0.10691753300282221,0.19946344891450918,1.3388350796716446,-0.10235734144941278,0.06043168228389287,"Maso hovězí zmrazené,v celku,půlené","Meat: of bovine animals, carcasses and half-carcasses, frozen",0.19946344891450926,117837024.0,31446010.0,POL,0.2668601847921753,0.07676009830290695,0.09453035354503793,0.0003246857286551976,0.0012166885401359347,1637.0,29.20085622547271,4002.0,71.3877987870139,1654.0,29.504102747056727
38,SVK,20220,1230424.0000000002,2023,892,24,0,1.440183635429462,-0.4656012272675373,0.19363318697227336,1.3388350796716446,-0.1517840728524753,0.08388593527785182,"Maso hovězí ostatní zmrazené,nevykostěné","Meat: of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen",0.19363318697227333,2730028161.0,257065489.0,NLD,0.09416221146445529,0.13675531727553586,0.13642961587595054,0.00045070011275975266,0.004786422342362729,1123.0,20.032108455226545,3718.0,66.32179807349269,3461.0,61.7374241883696
39,SVK,20230,643479.0,2023,892,18,0,1.440183635429462,-0.889765071634003,0.15023973282854391,1.3388350796716446,-0.18355238857136488,0.003909686810837169,"Maso hovězí zmrazené,vykostěné","Meat: of bovine animals, boneless cuts, frozen",0.1502397328285439,30633307703.0,2625218315.0,IRL,0.08569816685982315,0.13359507439826981,0.1243403466702553,2.1005860883151786e-05,0.00024511447155586375,798.0,14.234748483767392,1035.0,18.46236175526222,3074.0,54.834106314662854
40,SVK,20311,21367424.0,2023,892,18,1,1.440183635429462,2.390234189402516,0.24463272974143388,1.3388350796716446,0.0,1.361261702554498,"Maso vepřové čerstvé,chlazené,v celku,půlené","Meat: of swine, carcasses and half-carcasses, fresh or chilled",0.24463272974143385,2921541272.0,2719411228.0,BEL,0.9308139008895028,0.18384955094861927,0.21042018190399625,0.007313750520927092,0.007857371397158915,4535.0,80.89546914020693,5387.0,96.0934712807706,5029.0,89.70745629682483
41,SVK,20312,3021808.0,2023,892,10,0,1.440183635429462,2.7985764494839196,0.1795844423862816,1.3388350796716446,0.7442264470651002,0.10541392141716574,"Šunky,plece vepř.čerstvé,chlazené,nevykostěné","Meat: of swine, hams, shoulders and cuts thereof, with bone in, fresh or chilled",0.1795844423862816,5335441733.0,3420978573.0,NLD,0.6411800079909148,0.16693768902052292,0.18995086183635074,0.0005663651017515479,0.0008833168450248578,5045.0,89.99286478772743,2898.0,51.694612914734215,4049.0,72.22618622904031
42,SVK,20319,4413422.0,2023,892,14,0,1.440183635429462,2.750450637075615,0.2023489000377326,1.3388350796716446,0.7634674253532958,0.07053649853495916,"Maso vepřové ostatní čerstvé,chlazené","Meat: of swine, n.e.c. in item no. 0203.1, fresh or chilled",0.20234890003773262,11645631469.0,8486228073.0,ESP,0.7287048448673522,0.13690429543552576,0.2008398061562668,0.00037897661554448767,0.0005200687469197129,5000.0,89.19015340706386,4140.0,73.84944702104887,4303.0,76.75704602211916
43,SVK,20321,10057.0,2023,892,16,0,1.440183635429462,1.2001936382354987,0.18799879427604493,1.3388350796716446,0.365581128064268,0.00881521763576669,"Maso vepřové zmarazené,v celku,půlené","Meat: of swine, carcasses and half-carcasses, frozen",0.18799879427604493,212342485.0,84085631.0,ESP,0.39599061393672585,0.15080588298476735,0.1618554866876246,4.736216588969466e-05,0.00011960426389617033,2857.0,50.96325365679629,3409.0,60.80984659293615,1271.0,22.672136996075633
44,SVK,20322,258089.0,2023,892,12,0,1.440183635429462,1.9148457479229057,0.18094578310230178,1.3388350796716446,0.3655000105688656,0.03553507380497569,"Šunky,plece vepřové zmrazené,nevykostěné","Meat: of swine, hams, shoulders and cuts thereof, with bone in, frozen",0.18094578310230175,1351804094.0,674309229.0,ESP,0.49882170944216714,0.13634181899934047,0.23753706608507252,0.00019092189552134912,0.00038274576247865653,3882.0,69.24723510524437,2983.0,53.2108455226543,2540.0,45.308597930788444
45,SVK,20329,5644025.0,2023,892,16,0,1.440183635429462,1.5779684706796349,0.19494909976727814,1.3388350796716446,0.3654237618563886,0.07119087107403657,Maso vepřové ostatní zmrazené,"Meat: of swine, n.e.c. in item no. 0203.2, frozen",0.1949490997672782,14755913686.0,7317771481.0,ESP,0.49592127175038286,0.11709391352225473,0.2138167185620761,0.00038249241084643197,0.0007712764759946731,3405.0,60.73849447021049,3793.0,67.65965037459864,4430.0,79.02247591865857
46,SVK,20410,2442314.0,2023,892,21,0,1.440183635429462,-1.385312150568137,0.1812877014292655,1.3388350796716446,-0.27144337695545284,0.3164614517411719,"Jehně čerstvé,chlazené,v celku,půlené","Meat: of sheep, lamb carcasses and half-carcasses, fresh or chilled",0.18128770142926545,1436422394.0,527417596.0,FRA,0.36717444548556655,0.18659495311297294,0.2258166584348458,0.0017002756363320801,0.004630702537273709,511.0,9.115233678201927,3012.0,53.728148412415266,3928.0,70.06778451658937
47,SVK,20421,70.0,2023,892,22,0,1.440183635429462,-1.6052924981797856,0.1708125528802823,1.3388350796716446,-0.3747792369155267,3.2587272056406854e-05,"Maso skopové ost.čerstvé,chlaz,v celku,půlené","Meat: of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), fresh or chilled",0.1708125528802823,399808035.0,162330689.0,IRL,0.4060215773302305,0.09185750812327026,0.2761948626859843,1.7508402501215364e-07,4.312185233193953e-07,406.0,7.242240456653586,2310.0,41.20585087406351,553.5,9.873349982161969
48,SVK,20422,10632.0,2023,892,11,0,1.440183635429462,1.0441602741678255,0.1592884600381404,1.3388350796716446,0.2743645105327243,0.001597216293549422,"Maso skopové ost.čerstvé,chlazené,nevykostěné","Meat: of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled",0.15928846003814034,1238946977.0,242369209.0,IRL,0.19562516677418715,0.32628339474326506,0.21122812513536351,8.581481045899513e-06,4.3866958364335797e-05,2635.0,47.00321084552265,1547.0,27.595433464145557,1283.0,22.886193364252584
49,SVK,20423,19540.999999999996,2023,892,6,0,1.440183635429462,-0.09452321593420106,0.13616513240829103,1.3388350796716446,0.15653920124534743,0.007875097242935206,"Maso skopové ost.čerstvé,chlazené,vykostěné","Meat: of sheep (including lamb), boneless cuts, fresh or chilled",0.136165132408291,461840850.00000006,101963498.0,IRL,0.22077626524375224,0.31465318330724057,0.32663038019185214,4.231111215043016e-05,0.00019164701469931913,1444.0,25.758116303960044,425.0,7.581163039600428,1419.0,25.312165536924724
50,SVK,20430,216.0,2023,892,15,0,1.440183635429462,-1.1131789571977408,0.1480901062877848,1.3388350796716446,-0.2183274294343349,0.00024298415922921306,"Jehně zmrazené,v celku,půlené","Meat: of sheep, lamb carcasses and half-carcasses, frozen",0.14809010628778477,165454001.0,21375403.0,ESP,0.129192421282094,0.22759309740893624,0.16914706374745817,1.3054988014463307e-06,1.01050726388644e-05,658.0,11.737424188369603,933.0,16.642882625758116,651.0,11.612557973599715
51,SVK,20441,147.0,2023,892,12,0,1.440183635429462,-2.0781018330560026,0.13834697465926948,1.3388350796716446,-0.3112965384024778,0.00011174092117842084,"Maso skopové ostatní,zmrazené,v celku,půlené","Meat: of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), frozen",0.1383469746592695,244853644.0,15554629.0,ESP,0.0635262303876515,0.35612365434443893,0.3988937032998536,6.003586370966977e-07,9.450562916029691e-06,227.0,4.049232964680699,497.0,8.865501248662147,614.0,10.952550838387442
