loc,prod,ExportValue,time,diversity,ubiquity,mcp,eci,pci,density,coi,cog,rca,POPIS,description,relatedness,WorldExport,EUExport,EUTopExporter,EUWorldMarketShare,hhi,euhhi,SVK_WorldMarketShare,SVK_EUMarketShare,PCI_Rank,PCI_Percentile,relatedness_Rank,relatedness_Percentile,export_Rank,export_Percentile
SVK,10599,802629.0,2022,944,16,0,1.424543887686974,1.1684834865071017,0.21812785610480664,1.3418107482751265,0.29683260460530336,0.6219348829187312,"Kachny,husy,krocani,perličky ap domácí živí","Poultry: live, ducks, geese, turkeys and guinea fowls, weighing more than 185g",0.21812785610480667,277162951.0,216629808.0,POL,0.781597277768918,0.11030373928461304,0.145741669814103,0.002895874059300227,0.0037050718338816975,2761.0,49.250802711380665,4324.0,77.13164466642883,3198.0,57.046022119158046
SVK,10611,14021.0,2022,944,9,0,1.424543887686974,-0.3126088791741164,0.1490827071599696,1.3418107482751265,-0.0232675183568348,0.01091049628854295,Primáti,"Mammals: live, primates",0.1490827071599696,275994056.0,47732537.0,FRA,0.17294769927943665,0.16290432691827034,0.45461206203495835,5.080181871742919e-05,0.00029374093398806773,1173.0,20.924009989297183,597.0,10.649304316803425,1282.0,22.868355333571174
SVK,10612,0.0,2022,944,9,0,1.424543887686974,-0.6061012602528448,0.14528343946213146,1.3418107482751265,0.13557088777543683,0.0,"Velryby,delfíni,sviňuchy,kapustňáci,dugungové,tuleni,lvouni,mroži,živí","Mammals: live, whales, dolphins and porpoises (mammals of the order Cetacea): manatees and dugongs (mammals of the order Sirenia): seals, sea lions and walruses (mammals of the suborder Pinnipedia)",0.14528343946213143,20531214.0,3406627.0,ESP,0.16592428484745228,0.4046903509020078,0.6199047434861463,0.0,0.0,950.0,16.946129147342134,477.0,8.508740635033893,161.0,2.8719229397074564
SVK,10613,1497.0,2022,944,17,0,1.424543887686974,-3.0248608318671413,0.13198479835601443,1.3418107482751265,-0.33781201286141804,0.0012118494258240432,"Velbloudi a jiní velbloudovití, živí","Mammals: live, camels and other camelids (Camelidae)",0.13198479835601445,265300693.0,501531.0,BEL,0.001890424764175041,0.28680460353735926,0.15395567366608964,5.6426539375831935e-06,0.0029848603575850746,64.0,1.1416339636104174,176.0,3.139493399928648,837.0,14.93043168034249
SVK,10614,882468.0000000001,2022,944,12,1,1.424543887686974,1.5268964686196596,0.24039104063446884,1.3418107482751265,0.0,4.410369599406307,"Králíci a zajíci, živí","Mammals: live, rabbits and hares",0.24039104063446887,42972362.0,35415519.0,NLD,0.82414643626059,0.18131854240085496,0.24033935401604134,0.02053571083665357,0.02491755097532243,3295.0,58.77631109525508,5019.0,89.5290759900107,3268.0,58.29468426685695
SVK,10619,3386103.0,2022,944,42,1,1.424543887686974,0.7680859508642213,0.2560188401471763,1.3418107482751265,0.0,2.341208170927668,Domácí králíci,"Mammals: live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea): manatees, dugongs (mammals of the order Sirenia): seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",0.2560188401471763,310617113.0,145108469.0,FRA,0.4671618623923016,0.09226453993237978,0.1414959948751452,0.010901212001155906,0.023334978470484723,2238.0,39.921512665001785,5379.0,95.9507670353193,4130.0,73.67106671423474
SVK,10620,19594.0,2022,944,44,0,1.424543887686974,-2.4187319265235994,0.19553919362740918,1.3418107482751265,-0.3182826151146769,0.05704038771347245,Plazi (včetně hadů a želv),Reptiles: live (including snakes and turtles),0.19553919362740918,73774433.0,19759290.0,DEU,0.2678338442804433,0.07094739580850755,0.26980401724475717,0.0002655933662004559,0.000991634820886783,155.0,2.76489475561898,3181.0,56.742775597574024,1371.0,24.45594006421691
SVK,10631,24662.000000000004,2022,944,22,0,1.424543887686974,0.49490724646303924,0.21812645208720385,1.3418107482751265,0.18398334433426117,0.21983575643434025,Dravci,"Birds: live, birds of prey",0.21812645208720385,24093240.0,14426750.0,DEU,0.5987882908234841,0.13599969917522395,0.25809942197185215,0.0010236066216083848,0.0017094633233403229,1933.0,34.480913307170894,4323.0,77.11380663574742,1444.0,25.758116303960044
SVK,10632,73750.0,2022,944,31,0,1.424543887686974,-1.473928432825503,0.20085653144865354,1.3418107482751265,-0.2498121557700606,0.5983318078704281,"Papouškovití (vč. papoušků, makaů apod)","Birds: live, Psittaciformes",0.20085653144865342,26471904.0,13005144.0,CZE,0.4912810200580963,0.16265519879508455,0.2249286032460773,0.0027859726296982643,0.005670833018073464,450.0,8.027113806635748,3475.0,61.98715661790938,1839.0,32.80413842311809
SVK,10633,0.0,2022,944,10,0,1.424543887686974,-0.601869545834785,0.1714082975884935,1.3418107482751265,0.03548480919315244,0.0,"Pštrosi, emuové, živí","Birds: live, ostriches: emus (Dromaius novaehollandiae)",0.17140829758849346,687621.0,81137.0,BEL,0.11799668712851992,0.3184887720252512,0.33120841806411927,0.0,0.0,956.0,17.05315733143061,1718.0,30.645736710667144,161.0,2.8719229397074564
SVK,10639,12268.0,2022,944,45,0,1.424543887686974,-2.007555669296634,0.20209658272832715,1.3418107482751265,-0.3115246719744293,0.04599945959850356,Holubi a ostatní ptáci j.n.,"Birds: live, other than birds of prey, Psittaciformes, ostriches and emus (Dromaius novaehollandiae)",0.20209658272832715,57277794.0,34477042.0,BEL,0.601926847950883,0.07059234462212621,0.17122627406572083,0.000214184226438609,0.00035583099037324605,236.0,4.209775240813414,3549.0,63.30717088833393,1244.0,22.190510167677488
SVK,10641,13741695.0,2022,944,18,1,1.424543887686974,0.019472675104155217,0.21583544363241006,1.3418107482751265,-0.0,34.58635439206962,"Včely, živé","Insects: live, bees",0.21583544363241003,85329807.0,40457831.0,SVK,0.4741348002814538,0.15031959839372627,0.24051083025365505,0.16104214322200447,0.33965476300496683,1461.0,26.06136282554406,4193.0,74.79486264716375,4882.0,87.08526578665715
SVK,10649,1765942.0,2022,944,18,1,1.424543887686974,0.4415967471595482,0.24033538233641802,1.3418107482751265,0.0,1.5030756878352256,"Hmyz ostatní, živý","Insects: live, other than bees",0.24033538233641794,252325319.0,151050506.0,NLD,0.5986339642753012,0.10418553785267123,0.23593601401338019,0.006998671425438681,0.011691069740607159,1895.0,33.8030681412772,5017.0,89.49339992864788,3700.0,66.00071352122725
SVK,10690,981045.0000000001,2022,944,32,0,1.424543887686974,-0.8524343130509209,0.2119634573257052,1.3418107482751265,-0.11775612761799846,0.8330916071033919,Ostatní živá zvířata j.n.,"Animals: live, n.e.c. in chapter 01, other than mammals, reptiles, birds and insects",0.2119634573257052,252907329.0,150635003.0,NLD,0.595613435148809,0.13246043001828822,0.2926276675717765,0.003879069079884198,0.006512729315642528,795.0,14.181234391723155,4042.0,72.10132001427041,3339.0,59.561184445237245
SVK,20110,4174533.9999999995,2022,944,26,0,1.424543887686974,0.6316954310390218,0.22595602143607127,1.3418107482751265,0.15548942673265204,0.36201972287922635,"Maso hovězí,čerstvé,chlazené,v celku,půlené","Meat: of bovine animals, carcasses and half-carcasses, fresh or chilled",0.22595602143607127,2476515306.0,2050673622.0,ESP,0.8280480306468172,0.08921461140775505,0.11652431738776925,0.0016856483745067551,0.00203568912927676,2093.0,37.33499821619693,4579.0,81.68034249018909,4277.0,76.29325722440242
SVK,20120,3323306.0,2022,944,25,0,1.424543887686974,1.0342401629252866,0.22757225360567002,1.3418107482751265,0.21333612558249282,0.12654439744854848,"Maso hovězí ost,čerstvé,chlazené,nevykostěné","Meat: of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled",0.22757225360567002,5640175983.0,3958175807.0,POL,0.7017823236243513,0.07705173199554877,0.12168939944967752,0.0005892202672428563,0.0008396054551500118,2561.0,45.68319657509811,4628.0,82.5544059935783,4123.0,73.54620049946486
