HS_ID,Skupina,Podskupina,Kategorie,Included,CZ_Nazev,ENG_Nazev,Barva Skupina,Barva Kategorie
848580,"Výroba, nízkoemisní výrobní postupy",Výrobní postupy s nižší materiálovou náročností,Stroje pro aditivní výrobu,IN,"Stroje pro aditivní výrobu (kromě těch<br>nanášením vrstev kovu, plastů, kaučuku, sádry,<br>cementu, keramiky nebo skla)",Additive manufacturing machines for non-metal/non-plastic materials,#1CC08F,#D1BCFE
848590,"Výroba, nízkoemisní výrobní postupy",Výrobní postupy s nižší materiálovou náročností,Stroje pro aditivní výrobu,IN,Části a součásti strojů pro aditivní<br>výrobu,Machines parts for additive manufacturing,#1CC08F,#D1BCFE
848790,"Výroba surovin, komponent a zařízení pro nízkouhlíkové technologie",Výroba komponent a zařízení pro nízkouhlíkové technologie,Ostatní stroje,IN,"Části,souč.strojů,přístr,neobs.el.prvky,jn,ost.","Machinery parts: not containing electrical connectors, insulators, coils, contacts or other electrical features, n.e.c. in chapter 84",#99E9F4,#C3A8FE
850110,"Výroba, nízkoemisní výrobní postupy",Elektrifikace výrobních postupů,Elektrické motory,IN,"Motory elektrické,do 37,5W",Electric motors of an output < 37.5 watts,#1CC08F,#205CF7
850120,"Výroba, nízkoemisní výrobní postupy",Elektrifikace výrobních postupů,Elektrické motory,IN,"Motory el.univ,stejnos,stříd.proud,nad 37,5W",Universal AC/DC motors of an output < 37.5 watts,#1CC08F,#205CF7
850131,"Výroba, nízkoemisní výrobní postupy",Elektrifikace výrobních postupů,Elektrické motory,IN,"Motory na stejnosměrný proud s výkonem<br>> 37,5 W, avšak <= 750<br>W a generátory stejnosměrného proudu s<br>výkonem <= 750 W (k","DC motors, DC generators, of an output < 750 watts",#1CC08F,#205CF7
850132,"Výroba, nízkoemisní výrobní postupy",Elektrifikace výrobních postupů,Elektrické motory,IN,"Motory na stejnosměrný proud a generátory<br>stejnosměrného proudu, s výkonem > 750<br>W, avšak <= 75 kW (kromě<br>fotovoltaickýc","DC motors, DC generators, of an output 0.75-75 kW",#1CC08F,#205CF7
850133,"Výroba, nízkoemisní výrobní postupy",Elektrifikace výrobních postupů,Elektrické motory,IN,"Motory na stejnosměrný proud a generátory<br>stejnosměrného proudu, s výkonem > 75<br>kW, avšak <= 375 kW (kromě<br>fotovoltaický","DC motors, DC generators, of an output 75-375 kW",#1CC08F,#205CF7
850134,"Výroba, nízkoemisní výrobní postupy",Elektrifikace výrobních postupů,Elektrické motory,IN,"Motory na stejnosměrný proud a generátory<br>stejnosměrného proudu, s výkonem > 375<br>kW (kromě fotovoltaických generátorů)","DC motors, DC generators, of an output >375 kW",#1CC08F,#205CF7
850140,"Výroba, nízkoemisní výrobní postupy",Elektrifikace výrobních postupů,Elektrické motory,IN,"Motory elektrické jednofázové,střídavý proud","AC motors, single-phase, nes",#1CC08F,#205CF7
850151,"Výroba, nízkoemisní výrobní postupy",Elektrifikace výrobních postupů,Elektrické motory,IN,"Motory el.vícefázové,střídavý proud,do 750W","AC motors, multi-phase, of an output < 750 Watts",#1CC08F,#205CF7
850152,"Výroba, nízkoemisní výrobní postupy",Elektrifikace výrobních postupů,Elektrické motory,IN,"Motory el.vícefázové,střídavý proud,750W-75kW","AC motors, multi-phase, of an output 0.75-75 kW",#1CC08F,#205CF7
850153,"Výroba, nízkoemisní výrobní postupy",Elektrifikace výrobních postupů,Elektrické motory,IN,"Motory el.vícefázové,střídavý proud,nad 75kW","AC motors, multi-phase, of an output > 75 kW",#1CC08F,#205CF7
850161,"Výroba, nízkoemisní výrobní postupy",Elektrifikace výrobních postupů,Elektrické motory,IN,"Generátory,stříd.proud(alternátory),do 75kVA","AC generators, of an output < 75 kVA",#1CC08F,#205CF7
850162,"Výroba, nízkoemisní výrobní postupy",Elektrifikace výrobních postupů,Elektrické motory,IN,"Generátory,stříd.proud(alternátory),75-375kVA","AC generators, of an output 75-375 kVA",#1CC08F,#205CF7
850163,"Výroba, nízkoemisní výrobní postupy",Elektrifikace výrobních postupů,Elektrické motory,IN,"Generátory,stříd.proud(alternátor),375-750kVA","AC generators, of an output 375-750 kVA",#1CC08F,#205CF7
850164,"Výroba, nízkoemisní výrobní postupy",Elektrifikace výrobních postupů,Elektrické motory,IN,"Generátory,stříd.proud(alternátor),nad 750KVA","AC generators, of an output > 750 kVA",#1CC08F,#205CF7
850171,"Výroba, nízkoemisní výrobní postupy",Elektrifikace výrobních postupů,Elektrické motory,IN,"Fotovoltaické generátory stejnosměrného proudu, s výkonem<br><= 50 W",Photovoltaic DC generators <= 50W,#1CC08F,#205CF7
850172,"Výroba, nízkoemisní výrobní postupy",Elektrifikace výrobních postupů,Elektrické motory,IN,"Fotovoltaické generátory stejnosměrného proudu, s výkonem<br>> 50 W",Photovoltaic DC generators > 50W,#1CC08F,#205CF7
850180,"Výroba, nízkoemisní výrobní postupy",Elektrifikace výrobních postupů,Elektrické motory,IN,Fotovoltaické generátory střídavého proudu,Photovoltaic AC generators (alternators),#1CC08F,#205CF7
850231,"Výroba, nízkoemisní výrobní postupy",Elektrifikace výrobních postupů,Elektrické generátory,IN,"Elektrická generátorová soustrojí, poháněná v",Wind-Powered Electric Generators,#1CC08F,#ED4FDD
850239,"Výroba, nízkoemisní výrobní postupy",Elektrifikace výrobních postupů,Elektrické generátory,IN,"Ost.el.generátorová soustrojí, turbogeneráto",Electric Generators (not powered by traditional engines or wind),#1CC08F,#ED4FDD
850240,"Výroba, nízkoemisní výrobní postupy",Elektrifikace výrobních postupů,Elektrické generátory,IN,Měniče rotační elektrické,Electric rotary converters,#1CC08F,#ED4FDD
850300,"Výroba, nízkoemisní výrobní postupy",Elektrifikace výrobních postupů,Elektrické motory,IN,"Části motorů el,generátorů,generát.soustrojí",Parts for electric motors and generators,#1CC08F,#205CF7
850410,Energetické sítě,Distribuce a přenos elektřiny,Elektrické sítě a prvky,IN,"Odpory(předřadníky)pro výbojky,trubice výbojk",Ballasts for discharge lamps or tubes,#ED4FDD,#FF5555
850421,Energetické sítě,Distribuce a přenos elektřiny,Elektrické sítě a prvky,IN,"Transformátory s kapalin.dielektrik,do 650kVA",Liquid dielectric transformers < 650 KVA,#ED4FDD,#FF5555
850422,Energetické sítě,Distribuce a přenos elektřiny,Elektrické sítě a prvky,IN,"Transformátory s kapalin.dielekt,650-10000kVA","Liquid dielectric transformers 650-10,000KVA",#ED4FDD,#FF5555
850423,Energetické sítě,Distribuce a přenos elektřiny,Elektrické sítě a prvky,IN,"Transformátory s kapalin.dielekt,nad 10000kVA","Liquid dielectric transformers > 10,000 KVA",#ED4FDD,#FF5555
850431,Energetické sítě,Distribuce a přenos elektřiny,Elektrické sítě a prvky,IN,"Transformátory do 1kVA,bez kapal.dielektrika","Transformers electric, power capacity < 1 KVA, nes",#ED4FDD,#FF5555
850432,Energetické sítě,Distribuce a přenos elektřiny,Elektrické sítě a prvky,IN,"Transformátory 1-16kVA,bez kapal.dielektrika","Transformers electric, power capacity 1-16 KVA, nes",#ED4FDD,#FF5555
850433,Energetické sítě,Distribuce a přenos elektřiny,Elektrické sítě a prvky,IN,"Transformátory 16-500kVA,bez kapal.dielektr.","Transformers electric, power capacity 16-500 KVA",#ED4FDD,#FF5555
850434,Energetické sítě,Distribuce a přenos elektřiny,Elektrické sítě a prvky,IN,"Transformátory nad 500kVA,bez kapal.dielektr.","Transformers electric, power capacity > 500 KVA, nes",#ED4FDD,#FF5555
850440,Energetické sítě,Distribuce a přenos elektřiny,Elektrické sítě a prvky,IN,Měniče statické(např.usměrňovače),"Static converters, nes",#ED4FDD,#FF5555
850450,Energetické sítě,Distribuce a přenos elektřiny,Elektrické sítě a prvky,IN,Induktory ostatní,"Inductors, electric",#ED4FDD,#FF5555
850490,Energetické sítě,Distribuce a přenos elektřiny,Elektrické sítě a prvky,IN,"Části odporů,transformátorů,měničů,iduktorů",Parts of electrical transformers and inductors,#ED4FDD,#FF5555
850511,"Výroba, nízkoemisní výrobní postupy",Elektrifikace výrobních postupů,Elektromagnety,IN,"Magnety permanentní,výr.k zmagnetizov,kovové","Metal permanent magnets, articles intended as magnets",#1CC08F,#FF976A
850519,"Výroba, nízkoemisní výrobní postupy",Elektrifikace výrobních postupů,Elektromagnety,IN,"Magnety permanentní,výr.k zmagnetiz,ne kovové","Permanent magnets & articles intended as magnets, nes",#1CC08F,#FF976A
850520,"Výroba, nízkoemisní výrobní postupy",Elektrifikace výrobních postupů,Elektromagnety,IN,"Spojky,převody,brzdy elektromagnetické","Electro-magnetic couplings, clutches and brakes",#1CC08F,#FF976A
850590,"Výroba, nízkoemisní výrobní postupy",Elektrifikace výrobních postupů,Elektromagnety,IN,"Zařízení upínací s magnety,části magnetů ap",Electro-magnets nes and parts of magnetic devices,#1CC08F,#FF976A
850610,Ukládání energie,Baterie,Galvanické baterie,IN,Galv.články a baterie na bázi oxidu<br>manganiči,Manganese Dioxide Batteries,#FF976A,#F38CE9
850630,Ukládání energie,Baterie,Galvanické baterie,IN,Galvan. články a baterie na bázi<br>oxidu rtuťna,Mercuric Oxide Batteries,#FF976A,#F38CE9
850640,Ukládání energie,Baterie,Galvanické baterie,IN,Galvan. články a baterie na bázi<br>oxidu stří,Silver Oxide Batteries,#FF976A,#F38CE9
850650,Ukládání energie,Baterie,Lithium / baterie,IN,Galvanické články a baterie lithiové,Lithium Batteries,#FF976A,#670000
850660,Ukládání energie,Baterie,Galvanické baterie,IN,Galvanické články a baterie zinkovzdušné,Air-Zinc Batteries,#FF976A,#F38CE9
850680,Ukládání energie,Baterie,Galvanické baterie,IN,Ostatní galvanické články a baterie,Miscellaneous Primary Batteries (excluding listed types),#FF976A,#F38CE9
850690,Ukládání energie,Baterie,Galvanické baterie,IN,"Části,součásti článků galvanických,baterií",Parts of primary cells and primary batteries,#FF976A,#F38CE9
850720,Ukládání energie,Baterie,"Elektrické akumulátory, baterie",IN,Akumulátory elektrické olověné ost.,Lead-acid electric accumulators except for vehicles,#FF976A,#FF9090
850730,Ukládání energie,Baterie,"Elektrické akumulátory, baterie",IN,Akumulátory elektrické niklo-kadmiové,Nickel-cadmium electric accumulators,#FF976A,#FF9090
850750,Ukládání energie,Baterie,"Elektrické akumulátory, baterie",IN,Nikl-metal-hydridové akumulátory,"Electric accumulators: nickel-metal hydride, including separators, whether or not rectangular (including square)",#FF976A,#FF9090
850760,Ukládání energie,Baterie,Lithium / baterie,IN,Lithium-iontové akumulátory,"Electric accumulators: lithium-ion, including separators, whether or not rectangular (including square)",#FF976A,#670000
850780,Ukládání energie,Baterie,"Elektrické akumulátory, baterie",IN,"Elektrické akumulátory (kromě nepoužitelných, olověných, niklo-kadmiových,<br>nikl-metal-hydridových a lithium-iontových ak","Electric accumulators, nes",#FF976A,#FF9090
850790,Ukládání energie,Baterie,"Elektrické akumulátory, baterie",IN,"Části,součásti akumulátorů elektr,separátorů","Parts of electric accumulators, including separators",#FF976A,#FF9090
851411,"Výroba, nízkoemisní výrobní postupy",Elektrifikace výrobních postupů,Elektrické pece,IN,Lisy pro izostatické lisování za tepla,Electric resistance heated furnaces; hot isostatic presses,#1CC08F,#33D3E9
851419,"Výroba, nízkoemisní výrobní postupy",Elektrifikace výrobních postupů,Elektrické pece,IN,Průmyslové nebo laboratorní pece vyhřívané působením<br>odporů (kromě lisů pro izostatické lisování<br>za tepla a těch pro vý,Electric resistance furnaces for semiconductor manufacturing,#1CC08F,#33D3E9
851420,"Výroba, nízkoemisní výrobní postupy",Elektrifikace výrobních postupů,Elektrické pece,IN,"Pece el.indukční,dielektrické průmysl,laborat","Industrial electric induction, dielectric furnace/ove",#1CC08F,#33D3E9
851431,"Výroba, nízkoemisní výrobní postupy",Elektrifikace výrobních postupů,Elektrické pece,IN,Pece s elektronovým svazkem,Electric electron beam furnaces,#1CC08F,#33D3E9
851432,"Výroba, nízkoemisní výrobní postupy",Elektrifikace výrobních postupů,Elektrické pece,IN,Plazmové a vakuové obloukové pece,Electric plasma and vacuum arc furnaces,#1CC08F,#33D3E9
851439,"Výroba, nízkoemisní výrobní postupy",Elektrifikace výrobních postupů,Elektrické pece,IN,"Elektrické průmyslové nebo laboratorní pece (kromě<br>pecí vyhřívaných působením odporů, pecí pracujících<br>indukčně nebo die",Electric furnaces; excluding electron beam/plasma/vacuum arc,#1CC08F,#33D3E9
851440,"Výroba, nízkoemisní výrobní postupy",Elektrifikace výrobních postupů,Elektrické pece,IN,"Průmyslová indukční/dielektrická topná zařízení, j.n.",Industrial induction/dielectric heating equipment nes,#1CC08F,#33D3E9
851490,"Výroba, nízkoemisní výrobní postupy",Elektrifikace výrobních postupů,Elektrické pece,IN,"Části pecí aj zařízení elektr.průmysl,laborat",Parts of industrial/etc electric furnaces/ovens nes,#1CC08F,#33D3E9
853010,Měřící a diagnostické přístroje; Monitoring,Signalizace,Signalizace,IN,"Přístr.el.signaliz.ap pro dopravu želez,tram.","Electric signal, safety & traffic controls, railway",#202C3B,#FFD5C3
853090,Měřící a diagnostické přístroje; Monitoring,Signalizace,Signalizace,IN,"Části přístrojů el.signal,bezpečn.pro dopravu","Electric signal, safety & traffic controller parts",#202C3B,#FFD5C3
853120,Měřící a diagnostické přístroje; Monitoring,Signalizace,Signalizace,IN,Návěstní panely se zabudovanými zařízeními z<br>kapalných krystalů (LCD) nebo diodami vyzařujícími<br>světlo (LED) (kromě pro,Indicator panels incorporating electronic displays,#202C3B,#FFD5C3
853210,Energetické sítě,Distribuce a přenos elektřiny,Elektrické sítě a prvky,IN,"Kondenz.el.pevné(silové),50/60Hz,nad 0,5kVa",Fixed power capacitors (50/60 herz circuits),#ED4FDD,#FF5555
853221,Energetické sítě,Distribuce a přenos elektřiny,Elektrické sítě a prvky,IN,Kondenzátory elektrické pevné tantalové,"Electric capacitors, fixed, tantalum, nes",#ED4FDD,#FF5555
853222,Energetické sítě,Distribuce a přenos elektřiny,Elektrické sítě a prvky,IN,Kondenzátory el.pevné alumin.s elektrolytem,"Electric capacitors, fixed, aluminium electrolytic ne",#ED4FDD,#FF5555
853223,Energetické sítě,Distribuce a přenos elektřiny,Elektrické sítě a prvky,IN,"Kondenzátory el.pevné,keram.dielektr,jednovrs","Electric capacitors, fixed, ceramic, single layer",#ED4FDD,#FF5555
853224,Energetické sítě,Distribuce a přenos elektřiny,Elektrické sítě a prvky,IN,"Kondenzátory el.pevné,keram.dielektr,vícevrst","Electric capacitors, fixed, ceramic, multilayer,",#ED4FDD,#FF5555
